Ticker,Date,Open,High,Low,Close,Volume,Quarter
COST,"January 22, 2019",213,215.559998,210.800003,212.399994,3310800,2019 Q1
COST,"January 23, 2019",213,214.850006,210,212.089996,2220200,2019 Q1
COST,"January 24, 2019",212.389999,212.389999,208.899994,210.309998,1994400,2019 Q1
COST,"January 25, 2019",212.029999,212.320007,208.740005,209.070007,2252300,2019 Q1
COST,"January 28, 2019",208.679993,210.789993,207.309998,210.770004,1999400,2019 Q1
COST,"January 29, 2019",210.320007,210.539993,208.570007,210.309998,1636500,2019 Q1
COST,"January 30, 2019",210.479996,212.169998,209.320007,211.350006,1589800,2019 Q1
COST,"January 31, 2019",211.139999,214.880005,209.720001,214.630005,4341100,2019 Q1
COST,"February 1, 2019",214,215,209.369995,210.270004,3453700,2019 Q1
COST,"February 4, 2019",210.699997,211.190002,207.899994,211.179993,1630300,2019 Q1
COST,"February 5, 2019",211.490005,212.520004,209.639999,211.610001,2074500,2019 Q1
COST,"February 6, 2019",212.259995,212.259995,210.479996,211.600006,1618800,2019 Q1
COST,"February 7, 2019",210.070007,210.100006,206.270004,209.050003,2526600,2019 Q1
COST,"February 8, 2019",207.830002,208.490005,205.75,207.75,2013700,2019 Q1
COST,"February 11, 2019",208.649994,208.919998,206.759995,208.720001,2376600,2019 Q1
COST,"February 12, 2019",210.059998,212.75,209.259995,211.899994,2091200,2019 Q1
COST,"February 13, 2019",212.229996,213.509995,211.300003,212.800003,1703000,2019 Q1
COST,"February 14, 2019",212,214.550003,211.139999,213.839996,1411100,2019 Q1
COST,"February 15, 2019",215.149994,217.25,214.039993,216.470001,2635500,2019 Q1
COST,"February 19, 2019",216.669998,219.600006,216.509995,218.119995,1938100,2019 Q1
COST,"February 20, 2019",218.229996,219.070007,215.059998,217.110001,1785600,2019 Q1
COST,"February 21, 2019",216.600006,216.720001,214.330002,215.229996,1615300,2019 Q1
COST,"February 22, 2019",215.169998,216.589996,214.25,216.289993,1542500,2019 Q1
COST,"February 25, 2019",217.369995,219.089996,216.550003,217.050003,1794000,2019 Q1
COST,"February 26, 2019",216.889999,218.910004,216.130005,217.610001,1884100,2019 Q1
COST,"February 27, 2019",216.509995,218.860001,216.449997,218.050003,1482700,2019 Q1
COST,"February 28, 2019",218.490005,219.690002,217.520004,218.740005,2055600,2019 Q1
COST,"March 1, 2019",219.759995,220.570007,215.770004,219.440002,2178200,2019 Q1
COST,"March 4, 2019",220.429993,221.080002,215.869995,218.410004,2444700,2019 Q1
COST,"March 5, 2019",218.910004,221.610001,218.899994,219.820007,2160200,2019 Q1
COST,"March 6, 2019",220.5,221.910004,218.229996,219.229996,1985300,2019 Q1
COST,"March 7, 2019",218.130005,219.389999,216.220001,216.789993,3279100,2019 Q1
COST,"March 8, 2019",225.479996,228.699997,223.770004,227.820007,6782700,2019 Q1
COST,"March 11, 2019",227.529999,229.910004,227.059998,229.690002,3748400,2019 Q1
COST,"March 12, 2019",230.320007,233.399994,229.899994,232.960007,2647100,2019 Q1
COST,"March 13, 2019",234.25,237.449997,232.949997,236.380005,2421200,2019 Q1
COST,"March 14, 2019",236.130005,236.380005,233.279999,233.839996,2300300,2019 Q1
COST,"March 15, 2019",234.169998,235.649994,233.179993,233.600006,5075400,2019 Q1
COST,"March 18, 2019",233.580002,236.679993,233.490005,236.589996,1735400,2019 Q1
COST,"March 19, 2019",237.520004,238.050003,236.289993,237.050003,1852300,2019 Q1
COST,"March 20, 2019",237.029999,238.490005,235.779999,236.979996,1499500,2019 Q1
COST,"March 21, 2019",236.679993,239.850006,236.550003,239.539993,1617000,2019 Q1
COST,"March 22, 2019",239.75,240.339996,236.899994,237.559998,1873600,2019 Q1
COST,"March 25, 2019",236.929993,238.080002,235.789993,236.970001,1357100,2019 Q1
COST,"March 26, 2019",238,240.25,237.360001,239.070007,1193000,2019 Q1
COST,"March 27, 2019",238.710007,240.210007,238.160004,239.410004,1351200,2019 Q1
COST,"March 28, 2019",239.979996,241.949997,239.580002,241.220001,1396700,2019 Q1
COST,"March 29, 2019",241.660004,242.440002,240.770004,242.139999,1968000,2019 Q1
COST,"April 1, 2019",243.070007,244.410004,242.580002,244.190002,1610200,2019 Q2
COST,"April 2, 2019",244,244.190002,240.309998,240.5,1574300,2019 Q2
COST,"April 3, 2019",241.690002,243.550003,241.020004,242.479996,1663600,2019 Q2
COST,"April 4, 2019",242.169998,244.759995,241.25,244.399994,1319700,2019 Q2
COST,"April 5, 2019",244.960007,247.089996,244.009995,245.869995,1616200,2019 Q2
COST,"April 8, 2019",245.990005,246.830002,245.199997,246.520004,1244200,2019 Q2
COST,"April 9, 2019",245.110001,245.679993,244.009995,244.910004,1450200,2019 Q2
COST,"April 10, 2019",245.279999,246.669998,244.710007,245.610001,1556600,2019 Q2
COST,"April 11, 2019",243.619995,244.179993,240.919998,241.240005,2719800,2019 Q2
COST,"April 12, 2019",241.509995,242.720001,240.899994,241.949997,2187600,2019 Q2
COST,"April 15, 2019",242.369995,246.75,241.960007,246.330002,1859700,2019 Q2
COST,"April 16, 2019",246.649994,246.820007,244.25,245.339996,1360500,2019 Q2
COST,"April 17, 2019",246.300003,246.460007,244.320007,245.559998,1363000,2019 Q2
COST,"April 18, 2019",246.789993,247.25,244.699997,245.809998,1365000,2019 Q2
COST,"April 22, 2019",245.190002,245.770004,242.559998,243.419998,1300000,2019 Q2
COST,"April 23, 2019",244.649994,246.529999,242.210007,245.580002,1524600,2019 Q2
COST,"April 24, 2019",245.679993,248.699997,245.600006,247.960007,1156400,2019 Q2
COST,"April 25, 2019",246.210007,247.149994,243.940002,245.600006,1278200,2019 Q2
COST,"April 26, 2019",245.619995,245.889999,242.059998,243.820007,1842900,2019 Q2
COST,"April 29, 2019",245,245.75,243.490005,244.279999,1429700,2019 Q2
COST,"April 30, 2019",244.770004,245.789993,243.020004,245.529999,1427600,2019 Q2
COST,"May 1, 2019",245.339996,245.460007,241.550003,241.589996,1350400,2019 Q2
